Rutina;Color;Ejercicio;Grupo Muscular;Notas;Series;Repeticiones;Peso (kg)
Pierna Fuerte y Glúteo;0xFFCE93D8;Sentadilla búlgara;Pierna, Cuádriceps, Glúteo;Cuádriceps y glúteo mayor. Inclina el torso un poco hacia adelante para enfocar en glúteo (45°). Baja lento.;4;12;4
Pierna Fuerte y Glúteo;0xFFCE93D8;Hip thrust con barra;Pierna, Glúteo;Glúteo mayor. Mantén la mirada al frente (mentón al pecho). Bloquea arriba 1 seg apretando fuerte.;4;12;30
Pierna Fuerte y Glúteo;0xFFCE93D8;Peso muerto;Pierna, Isquiosurales, Glúteo, Erectores espinales;"Isquiosurales, Glúteo mayor, Erectores espinales. Prioriza técnica. Espalda recta, ""saca pecho"". La barra roza tus piernas.";3;15;25
Pierna Fuerte y Glúteo;0xFFCE93D8;Aductor en polea;Pierna, Aductores;Movimiento controlado. No dejes que las placas choquen fuerte al volver.;3;15;5
Pierna Fuerte y Glúteo;0xFFCE93D8;Deadbug;Core;Espalda baja pegada al suelo como si tuvieras pegamento. Estira brazo y pierna contraria.;3;12;0
Torso 1 M;0xFF80DEEA;Press militar con mancuernas;Hombro, Deltoides anterior, Deltoides lateral;Hombro frontal.No arquear espalda. Apretar abdomen. Primera serie sin peso para calentar.;4;10;6
Torso 1 M;0xFF80DEEA;Jalón al pecho;Espalda, Dorsal ancho;Espalda Dorsal.Lleva la barra a la parte alta del pecho (clavícula). No te balancees hacia atrás.;4;12;20
Torso 1 M;0xFF80DEEA;Remo con mancuerna;Espalda, Dorsal ancho, Romboides, Trapecio;Espalda media. Apoya mano y rodilla en banco. Tira llevando el codo hacia tu cadera, no hacia el techo.;3;12;8
Torso 1 M;0xFF80DEEA;Face pull;Espalda, Hombro, Deltoides posterior, Manguito rotador, Trapecio;Hombro posterior. Usa la cuerda. Tira hacia tu frente separando las manos. Codos altos.;3;15;10
Torso 1 M;0xFF80DEEA;Pallof en zancada;Core;Ponte de lado a la polea. Estira brazos al frente y aguanta sin que te gire el tronco.;3;15;5
Pierna Mixta;0xFFCE93D8;Sentadilla sumo;Pierna, Glúteo, Aductores, Cuádriceps;Cuádriceps, glúteo mayor, aductores.Pies muy abiertos, puntas hacia fuera. Baja la mancuerna o kettle vertical entre las piernas.;3;15;12
Pierna Mixta;0xFFCE93D8;Leg press;Pierna, Cuádriceps, Glúteo;Cuádriceps y glúteo mayor. Empuja con toda la planta del pie. No estires las rodillas del todo al subir (no bloquear).;3;15;40
Pierna Mixta;0xFFCE93D8;Step ups al cajón;Pierna, Cuádriceps, Glúteo;Cuádriceps y glúteo mayor. Usa un cajón donde la rodilla quede a 90°. Sube con la fuerza de la pierna de arriba.;3;10;0
Pierna Mixta;0xFFCE93D8;Leg curl sentado;Pierna, Isquiosurales;Ajusta bien la almohadilla sobre tus tobillos. Aguanta 1 seg abajo del todo.;3;12;15
Pierna Mixta;0xFFCE93D8;Plancha lateral;Core;Codo debajo del hombro. Cuerpo en línea recta. Si cuesta mucho, apoya rodillas.;3;30;0
Torso Complementario 1;0xFF80DEEA;Flexiones;Pecho, Pectoral mayor, Tríceps, Deltoides anterior;Trabajan pecho y tríceps. Mantén el abdomen duro como una tabla. Apoya rodillas si es necesario.;3;0;0
Torso Complementario 1;0xFF80DEEA;Elevaciones laterales;Hombro, Deltoides lateral;Hombro lateral. Sube los brazos un poco por delante de tu cuerpo y gira un poco la muńeca al subir.;4;15;4
Torso Complementario 1;0xFF80DEEA;Face pull;Espalda, Hombro, Deltoides posterior, Manguito rotador, Trapecio;Hombro posterior. Usa la cuerda. Tira hacia tu frente separando las manos. Codos altos.;3;15;10
Torso Complementario 1;0xFF80DEEA;Pájaros;Hombro, Deltoides posterior;Hombro posterior. Inclina el torso hacia adelante y concéntrate en abrir los brazos.;3;15;2
Torso Complementario 1;0xFF80DEEA;Pallof en zancada;Core;Ponte de lado a la polea. Estira brazos al frente y aguanta sin que te gire el tronco.;3;30;5
Torso 2;0xFF80DEEA;Flexiones;Pecho, Pectoral mayor, Tríceps, Deltoides anterior;Trabajan pecho y tríceps. Mantén el abdomen duro como una tabla. Apoya rodillas si es necesario.;3;0;0
Torso 2;0xFF80DEEA;Elevaciones laterales;Hombro, Deltoides lateral;"Brazos ligeramente flexionados. Piensa en ""servir agua"" al llegar arriba.";4;15;3
Torso 2;0xFF80DEEA;Remo en máquina unilateral (agarre ancho);Espalda, Deltoides posterior, Trapecio, Romboides;Espalda alta. Agarre ancho. Unilateral. No despegues el pecho del cojín. Imagina atrapar un lápiz entre las escápulas.;3;12;15
Torso 2;0xFF80DEEA;Pájaros;Hombro, Deltoides posterior;Hombro posterior. Inclina el torso hacia adelante y concéntrate en abrir los brazos.;3;15;2
Torso 2;0xFF80DEEA;Plancha lateral con elevación de pierna;Core, Glúteo;Oblicuos, glúteo medio y glúteo menor. Codo justo debajo del hombro. Sube la pierna libre y aguanta para mejorar equilibrio.;3;30;0
Torso 1 B;0xFF80DEEA;Press militar con barra;Hombro, Deltoides anterior, Deltoides lateral;Hombro frontal.No arquear espalda. Apretar abdomen. Primera serie sin peso para calentar.;4;10;15
Torso 1 B;0xFF80DEEA;Jalón al pecho;Espalda, Dorsal ancho;Espalda Dorsal.Lleva la barra a la parte alta del pecho (clavícula). No te balancees hacia atrás.;4;12;20
Torso 1 B;0xFF80DEEA;Remo en polea (agarre estrecho);Espalda, Dorsal ancho;;3;12;8
Torso 1 B;0xFF80DEEA;Face pull;Espalda, Hombro, Deltoides posterior, Manguito rotador, Trapecio;Hombro posterior. Usa la cuerda. Tira hacia tu frente separando las manos. Codos altos.;3;15;10
Torso 1 B;0xFF80DEEA;Pallof en zancada;Core;Ponte de lado a la polea. Estira brazos al frente y aguanta sin que te gire el tronco.;3;15;5
Mix;0xFFEEEEEE;Remo en máquina unilateral (agarre estrecho);Espalda, Dorsal ancho;;3;12;20
Mix;0xFFEEEEEE;Remo con barra;Espalda, Dorsal ancho, Romboides, Trapecio;;3;12;20
Mix;0xFFEEEEEE;Plancha;Core;;3;30;0
